State;Up;Down;Left;Right;Stay
1,-1|2|3|0001;-43.30071;-44.18227;-45.72085;-45.32473;-45.29048
1,0|2|3|1000;-49.54652;-50.78627;-49.76467;-39.52757;-50.33107
-1,1|1|3|0001;-74.60679;-45.75213;-75.01513;-47.21905;-44.7229
0,0|0|3|0001;0;-20;0;0;0
-1,1|1|2|0110;-72.09673;-29.52646;-29.51158;-29.14729;-29.10007
0,-1|2|1|1011;-58.48914;-49.44543;-49.2601;-48.4797;-51.85001
0,0|0|2|0110;-20;0;0;0;0
-1,1|2|1|1011;-40.34382;-38.91929;-40.36219;-34.44511;-38.99544
-1,0|2|2|0011;-22.75382;-24.07831;-22.89965;-26.46725;-26.63869
-1,1|1|2|0101;-81.70487;-57.48128;-76.27297;-52.8863;-62.19841
-1,0|0|2|0101;-37.34834;-99.99956;-103.592;-99.97718;-99.9977
0,-1|0|2|1001;-99.90715;-99.55727;-34.7341;-99.48119;-99.30824
0,-1|2|3|0100;-41.15365;-41.8893;-42.62103;-43.89392;-41.22266
1,0|1|2|0110;-42.55716;-48.24297;-49.59145;-91.11163;-49.9935
1,0|1|3|0010;-46.98231;-40.72911;-49.7965;-55.21929;-46.34284
-1,1|2|2|1100;-53.34764;-51.5451;-51.90455;-36.47614;-49.87266
0,1|2|4|0000;-46.38362;-48.33587;-48.86255;-42.10886;-51.42495
0,1|1|3|0001;-66.3685;-35.06704;-39.69123;-40.0427;-40.52079
1,-1|2|2|1100;-55.38048;-53.64569;-51.96948;-49.08432;-54.31435
1,1|2|3|1000;-60.72236;-53.62925;-52.72435;-53.51044;-54.53916
1,0|2|2|0011;-38.45845;-37.46106;-39.00524;-38.14777;-37.62394
-1,-1|1|2|0110;-8.271562;-8.532665;-10.33827;-8.706249;-8.69615
0,1|0|2|0110;-99.99003;-99.98289;-99.98717;-35.02814;-99.98905
0,1|2|2|0110;-40.02028;-40.6581;-40.96502;-42.30638;-38.81282
1,-1|1|3|0100;-35.12751;-34.77029;-31.1561;-46.41561;-35.11852
1,1|1|3|0100;-58.31072;-45.83793;-35.07687;-77.45815;-46.42369
0,1|2|2|0011;-35.52687;-39.6589;-38.9838;-38.86912;-40.09458
0,1|0|3|0001;-99.99998;-31.65628;-35.12891;-99.99998;-99.99998
-1,1|1|2|0011;-46.40018;-29.33866;-30.29735;-31.0502;-30.48074
0,-1|1|3|0001;-43.31781;-63.77181;-40.07139;-43.52898;-44.5155
0,-1|1|2|1001;-44.3574;-70.85506;-44.04749;-45.93028;-44.71938
1,0|2|2|1100;-66.42101;-60.73774;-57.96725;-51.56826;-59.23256
1,1|1|2|0110;-75.78676;-48.64463;-53.90722;-58.09676;-55.93629
0,-1|0|2|0011;-25.49265;-102.304;-99.99998;-99.99998;-99.99998
1,1|1|4|0000;-51.58546;-27.79392;-39.50218;-67.24417;-38.16444
0,1|2|2|1100;-44.94075;-44.44588;-45.33193;-44.51331;-46.81252
0,1|0|4|0000;-99.93036;-38.65982;-39.20018;-33.59777;-99.90096
1,-1|2|2|1001;-47.91239;-45.75383;-46.34862;-47.24768;-49.14107
-1,0|2|2|1001;-44.97491;-43.59135;-41.2535;-45.66155;-44.40701
-1,0|1|3|0001;-42.89592;-42.01976;-59.43905;-43.61149;-41.54981
-1,0|0|3|0001;-40.60907;-32.28138;-99.98753;-99.99866;-99.99982
0,1|1|4|0000;-67.09511;-35.37721;-34.7649;-38.47452;-38.94709
-1,1|1|3|1000;-39.93499;-37.24511;-74.70945;-39.81584;-38.95245
-1,1|1|4|0000;-75.424;-35.92317;-46.39239;-36.87524;-36.56696
-1,-1|1|2|0011;-33.81389;-50.50646;-46.22946;-50.62672;-47.48494
-1,1|1|3|0010;-46.99926;-25.24235;-31.0461;-29.99478;-33.81907
-1,0|0|4|0000;-39.79235;-34.88493;-87.41709;-38.59922;-99.40971
0,1|0|3|0010;-99.95246;-30.99725;-99.81866;-33.4802;-99.96754
0,1|2|3|0100;-47.83958;-53.6144;-52.81186;-51.96712;-52.65163
0,1|1|2|0110;-69.79476;-46.00473;-44.38429;-33.49707;-49.79366
0,1|1|3|0010;-65.30476;-24.81436;-37.28526;-34.4898;-38.62036
1,1|2|3|0010;-54.37321;-54.44988;-57.67995;-49.6911;-56.13753
1,1|1|3|0010;-70.05183;-26.2946;-38.40041;-68.87022;-40.64392
0,1|2|3|0010;-45.8472;-43.72874;-45.28735;-44.81003;-46.58054
0,1|1|3|0100;-54.33212;-46.30614;-34.51315;-43.10025;-42.49195
0,-1|1|3|0100;-17.10137;-18.98443;-16.71683;-18.60702;-22.54013
0,1|0|2|0101;-99.99974;-99.99975;-31.92946;-99.99591;-99.99591
0,0|0|2|0101;0;0;0;0;0
1,0|2|3|0010;-48.75815;-48.72231;-50.27557;-48.95991;-50.01203
1,-1|1|2|1100;-37.44668;-37.10501;-34.34412;-36.65039;-37.73621
-1,0|1|2|0110;-12.41669;-16.98498;-11.59826;-8.660074;-7.279781
-1,0|1|2|0011;-18.88546;-16.75939;-18.23112;-22.20609;-16.71187
1,-1|2|2|1010;-40.9064;-40.51279;-42.43511;-41.74555;-42.24377
1,0|2|2|1010;-48.39405;-49.00587;-47.42736;-46.41513;-53.95842
1,0|1|1|1110;-96.06205;-97.01763;-100.5592;-96.8596;-97.06527
